,Unnamed: 0,Sector,Sub Sector,Organization,Operation,Operation Type,Address,City,Postal Code,GHG Emissions (kg),Energy Intensity (eWh/HDD/sq. ft),Energy Intensity (ekWh/ML),Year
0,0,Post-Secondary Educational Institution,University,McMaster University,McMaster Uiniversity,classrooms and related facilities,1280 Main Street West,Hamilton,L8S 4M3,51062918.148123726,19.72367510057692,,2011
1,1,Post-Secondary Educational Institution,University,Trent University,Peterborough Campus,administrative offices and related facilities,1600 West Bank Drive,Peterborough,K9J 7B8,1292165.6413656755,14.191832554549292,,2011
2,2,Post-Secondary Educational Institution,University,Trent University,Peterborough Campus,classrooms and related facilities,1600 West Bank Drive,Peterborough,K9J 7B8,517000.77922229446,14.19961211172284,,2011
3,3,Post-Secondary Educational Institution,University,Trent University,Peterborough Campus,laboratories,1600 West Bank Drive,Peterborough,K9J 7B8,992289.2220365052,14.165389995603649,,2011
4,4,Post-Secondary Educational Institution,University,Trent University,Peterborough Campus,student residences,1600 West Bank Drive,Peterborough,K9J 7B8,1225494.0138145047,14.165389995603636,,2011
5,5,Post-Secondary Educational Institution,University,Trent University,Peterborough Campus,student recreational facilities and athletic facilities,1600 West Bank Drive,Peterborough,K9J 7B8,544371.033402713,22.96841946557297,,2011
6,6,Post-Secondary Educational Institution,University,Trent University,Peterborough Campus,library,1600 West Bank Drive,Peterborough,K9J 7B8,466260.199220329,14.16538999560366,,2011
7,7,Post-Secondary Educational Institution,University,Trent University,Traill College,administrative offices and related facilities,310 London Street,Peterborough,K9H 7P4,50977.43105250873,5.379027964276503,,2011
8,8,Post-Secondary Educational Institution,University,Trent University,Traill College,classrooms and related facilities,310 London Street,Peterborough,K9H 7P4,12409.756961352465,5.379027964276505,,2011
9,9,Post-Secondary Educational Institution,University,Trent University,Traill College,laboratories,310 London Street,Peterborough,K9H 7P4,679.5047450235313,5.379027964276504,,2011
10,10,Post-Secondary Educational Institution,University,Trent University,Traill College,student residences,310 London Street,Peterborough,K9H 7P4,25503.79329426527,5.379027964276511,,2011
11,11,Post-Secondary Educational Institution,University,Trent University,Traill College,student recreational facilities and athletic facilities,310 London Street,Peterborough,K9H 7P4,539.7840947894043,5.379027964276515,,2011
12,12,Post-Secondary Educational Institution,University,Trent University,Oshawa Campus,administrative offices and related facilities,55 Thornton Road South,Oshawa,L1J 5Y1,80745.17164227707,19.69669565748115,,2011
13,13,Post-Secondary Educational Institution,University,Trent University,Oshawa Campus,classrooms and related facilities,55 Thornton Road South,Oshawa,L1J 5Y1,164226.20691579513,19.696695657481147,,2011
14,14,Post-Secondary Educational Institution,University,Trent University,Oshawa Campus,laboratories,55 Thornton Road South,Oshawa,L1J 5Y1,26149.51919614327,19.69669565748112,,2011
15,15,Post-Secondary Educational Institution,University,Trent University,Oshawa Campus,library,55 Thornton Road South,Oshawa,L1J 5Y1,20537.279300032533,19.69669565748115,,2011
16,16,Post-Secondary Educational Institution,College,Fanshawe College,London Campus (less J & SC & Residence Buildings),classrooms and related facilities,1001 Fanshawe College Blvd,London,N5Y 5R6,3679465.571062,6.683708772458738,,2011
17,17,Post-Secondary Educational Institution,College,Fanshawe College,London Campus - J & SC Buildings,student recreational facilities and athletic facilities,1001 Fanshawe College Blvd,London,N5Y 5R6,365033.787195,5.824807206747149,,2011
18,18,Post-Secondary Educational Institution,College,Fanshawe College,London Campus - Residences,student residences,1001 Fanshawe College Blvd,London,N5Y 5R6,940096.815827,4.308706686944793,,2011
19,19,Post-Secondary Educational Institution,College,Fanshawe College,Kestral Court Residence,student residences,900 Fanshawe College Blvd,London,N5Y 5R6,218878.365093,5.040703737936417,,2011
20,20,Post-Secondary Educational Institution,College,Fanshawe College,CATT,classrooms and related facilities,1764 Oxford St.,London,N5V 3R6,619728.93714,7.862235845490561,,2011
21,21,Post-Secondary Educational Institution,College,Fanshawe College,Simcoe Campus (JNA),classrooms and related facilities,634 Ireland Dr.,Simcoe,N3Y 4K8,91779.10521,6.012706055051607,,2011
22,22,Post-Secondary Educational Institution,College,Fanshawe College,St. Thomas/Elgin Campus,classrooms and related facilities,120 Bill Martin Parkway,St. Thomas,N5R 6A7,253827.439275,10.8743205280135,,2011
23,23,Post-Secondary Educational Institution,College,Fanshawe College,Woodstock Campus,classrooms and related facilities,369 Finkle Street,Woodstock,N4V 1A3,59744.195925,7.853666728033891,,2011
24,24,Post-Secondary Educational Institution,College,Fanshawe College,Citi Plaza,classrooms and related facilities,355 Wellington St,London,N6A 3N7,19673.78484,3.42859798067503,,2011
25,25,Post-Secondary Educational Institution,University,Laurentian University,"Main Loop (RD Parker, Dining Assembly, Maintenance Building, JN Desmarais Library, Science I, Science II, Arts Building)",classrooms and related facilities,935 Ramsey Lake Road,Sudbury,P3E 2C6,9571083.751958076,24.7532752942849,,2011
26,26,Post-Secondary Educational Institution,University,Laurentian University,"West Loop (Ben Avery, Daycare,Stadium)",student recreational facilities and athletic facilities,935 Ramsey Lake Road,Sudbury,P3E 2C6,1453024.5437184526,16.174405884447804,,2011
27,27,Post-Secondary Educational Institution,University,Laurentian University,School of Education,classrooms and related facilities,935 Ramsey Lake Road,Sudbury,P3E 2C6,75277858.30168323,2137.184289047528,,2011
28,28,Post-Secondary Educational Institution,University,Laurentian University,Alphonse Raymond,classrooms and related facilities,935 Ramsey Lake Road,Sudbury,P3E 2C6,916570.901617355,15.115526394959057,,2011
29,29,Post-Secondary Educational Institution,University,Laurentian University,Health & Science Building,classrooms and related facilities,935 Ramsey Lake Road,Sudbury,P3E 2C6,189936.3176565917,10.008633396089122,,2011
30,30,Post-Secondary Educational Institution,University,Laurentian University,School of Medicine (NOSM),classrooms and related facilities,935 Ramsey Lake Road,Sudbury,P3E 2C6,639144.738738944,17.26926145341278,,2011
