,Unnamed: 0,Sector,Sub Sector,Organization,Operation,Operation Type,Address,City,Postal Code,GHG Emissions (kg),Energy Intensity (eWh/HDD/sq. ft),Energy Intensity (ekWh/ML),Year
0,0,Public Hospital,Acute/Chronic Hospital,Nipigon District Memorial Hospital,Nipigon District Memorial Hospital,facilities used for hospital purposes,125 Hogan Road,Nipigon,P0T 2J0,781576.1422890001,15.918929149101608,,2011
1,1,Public Hospital,Acute/Chronic Hospital,Nipigon District Memorial Hospital,Nipigon Medical Clinic,administrative offices and related facilities,125 Hogan Road,Nipigon,P0T 2J0,13346.833266,4.64549467755784,,2011
2,2,Public Hospital,Acute/Chronic Hospital,Ottawa Queensway-Carleton Hospital,Queensway Carleton Hospital,facilities used for hospital purposes,3045 Baseline Road,Ottawa,K2H 8P4,6768598.13085,21.41117010023486,,2011
3,3,Public Hospital,Chronic Hospital,Toronto Runnymede Healthcare Centre,Runnymede Healthcare Centre,facilities used for hospital purposes,625 Runnymede,Toronto,M6S3A3,2044572.28937364,19.64361141057985,,2011
4,4,Public Hospital,Acute/Chronic Hospital,Renfrew Victoria Hospital,Renfrew Victoria Hospital,facilities used for hospital purposes,499 Raglan Street North,Renfrew,K7V 1P6,1289471.225832,21.388512021631588,,2011
5,5,Public Hospital,Acute/Chronic Hospital,Renfrew Victoria Hospital,Renfrew Victoria Hospital,administrative offices and related facilities,499 Raglan Street North,Renfrew,K7V 1P6,248.361447,0.1308965168181093,,2011
6,6,Public Hospital,Chronic Hospital,Cornwall St. Joseph's Continuing Care Centre,Hotel Dieu Hospital,facilities used for hospital purposes,14 York Street,Cornwall,K6J 5T2,249573.5925084426,8.145970512531752,,2011
7,7,Public Hospital,Acute/Chronic Hospital,Terrace Bay McCausland Hospital,The McCausland Hospital,facilities used for hospital purposes,20B Cartier Road,Terrace Bay,P0T 2W0,133860.9292904,3.119427167536878,,2011
8,8,Public Hospital,Acute/Chronic Hospital,Terrace Bay McCausland Hospital,The McCausland Hospital - New Wing,facilities used for hospital purposes,20B Cartier Road,Terrace Bay,P0T 2W0,463547.987162,6.594948084443159,,2011
9,9,Public Hospital,Acute/Chronic Hospital,Marathon Wilson Memorial General Hospital,Wilson Memorial General Hospital,facilities used for hospital purposes,26 Peninsula Road,Marathon,P0T 2E0,650623.4958108001,11.81648082624258,,2011
10,10,Public Hospital,Acute/Chronic Hospital,Owen Sound Grey Bruce Health Services,GBHS - Owen Sound,facilities used for hospital purposes,1800 8th Street East,Owen Sound,N4K 6M9,4400278.114689301,16.501183165103015,,2011
11,11,Public Hospital,Acute/Chronic Hospital,Owen Sound Grey Bruce Health Services,GBHS - Southampton,facilities used for hospital purposes,340 High Street,Southampton,N0H 2L0,258975.48281541,9.794872177413092,,2011
12,12,Public Hospital,Acute/Chronic Hospital,Owen Sound Grey Bruce Health Services,GBHS - Markdale,facilities used for hospital purposes,55 Isla Street,Markdale,N0C 1H0,258844.68895137,12.84671809766378,,2011
13,13,Public Hospital,Acute/Chronic Hospital,Owen Sound Grey Bruce Health Services,GBHS - Meaford,facilities used for hospital purposes,229 Nelson Street West,Meaford,N4L 1A3,449565.2233624201,12.676181742916532,,2011
14,14,Public Hospital,Acute/Chronic Hospital,Owen Sound Grey Bruce Health Services,GBHS - Wiarton,facilities used for hospital purposes,369 Mary Street,Wiarton,N0H 2T0,514071.22659087,12.95559742603764,,2011
15,15,Public Hospital,Acute/Chronic Hospital,Owen Sound Grey Bruce Health Services,GBHS - Lions Head,facilities used for hospital purposes,22 Moore Street,Lion's Head,N0H 1W0,97623.5288053156,10.842534173111789,,2011
16,16,Public Hospital,Acute/Chronic Hospital,West Parry Sound Health Centre,West Parry Sound Health Centre,facilities used for hospital purposes,6 Albert Street,Parry Sound,P2A 3A4,3526186.003167,19.26560275177492,,2011
17,17,Public Hospital,Acute/Chronic Hospital,Toronto University Health Network,Toronto General Hospital,facilities used for hospital purposes,200 Elizabeth Street,Toronto,M5G 2C4,17129889.461332805,16.443030468313776,,2011
18,18,Public Hospital,Acute/Chronic Hospital,Toronto University Health Network,Toronto Western Hospital,facilities used for hospital purposes,399 Bathurst Street,Toronto,M5T 2S8,12306589.59624911,20.3592254979706,,2011
19,19,Public Hospital,Acute/Chronic Hospital,Toronto University Health Network,Princess Margaret Hospital,facilities used for hospital purposes,610 University Avenue,Toronto,M5G 2M9,8745576.127539117,16.22004513667924,,2011
20,20,Public Hospital,Acute/Chronic Hospital,Toronto University Health Network,Toronto Rehab - Bickle Centre,facilities used for hospital purposes,130 Dunn Avenue,Toronto,M6K 2R7,1680543.2895916046,15.943324343596968,,2011
21,21,Public Hospital,Acute/Chronic Hospital,Toronto University Health Network,Toronto Rehab - University Centre,facilities used for hospital purposes,550 University Avenue,Toronto,M5G 2A2,2808979.5376195163,10.61607651358097,,2011
22,22,Public Hospital,Acute/Chronic Hospital,Toronto University Health Network,Toronto Rehab - Lyndhurst Centre,facilities used for hospital purposes,520 Sutherland Drive,Toronto,M4G 3V9,1248176.7286185704,16.829452894652977,,2011
23,23,Public Hospital,Acute/Chronic Hospital,Toronto University Health Network,Toronto Rehab - Rumsey Centre,facilities used for hospital purposes,345 Rumsey Road,Toronto,M4G 1R7,323960.5264465124,9.314137126018256,,2011
24,24,Public Hospital,Acute/Chronic Hospital,Toronto University Health Network,Toronto Medical Discovery Tower,facilities used for hospital purposes,101 College Street,Toronto,M5G 1L7,5432406103.345333,19666.83713033529,,2011
25,25,Public Hospital,Acute/Chronic Hospital,The Salvation Army Toronto Grace Health Centre,Toronto Grace Health Centre,facilities used for hospital purposes,650 Church Street,Toronto,M4Y 2G5,1233514.928718,25.61684067872002,,2011
26,26,Public Hospital,Acute/Chronic Hospital,Exeter South Huron Hospital Association,South Huron Hospital Association,facilities used for hospital purposes,23 Huron Street West,Exeter,N0M 1S2,16449.105655761003,8.025330573547947,,2011
27,27,Public Hospital,Acute/Chronic Hospital,Exeter South Huron Hospital Association,South Huron Hospital Association,facilities used for hospital purposes,24 Huron Street West,Exeter,N0M 1S2,195032.8943831952,10.553629049161811,,2011
28,28,Public Hospital,Acute/Chronic Hospital,Simcoe Norfolk General Hospital,Norfolk General Hospital,facilities used for hospital purposes,365 West Street,Simcoe,N3Y 1T7,2324673.07377855,16.38556157469481,,2011
29,29,Public Hospital,Acute/Chronic Hospital,Penetanguishene Waypoint Centre for Mental Health Care,Waypoint Centre for Mental Health Care,facilities used for hospital purposes,500 Church Street,Penetanguishene,L9M 1G3,2548470.282198,9.587734902868617,,2011
30,30,Public Hospital,Acute/Chronic Hospital,Ottawa Hopital Montfort,Montfort Hospital,administrative offices and related facilities,713 Montreal Road,Ottawa,K1K 0T2,810432.6618306,18.14195257855649,,2011
31,31,Public Hospital,Acute/Chronic Hospital,Ottawa Hopital Montfort,Montfort Hospital,facilities used for hospital purposes,713 Montreal Road,Ottawa,K1K 0T2,7293893.956475401,18.141952578556488,,2011
32,32,Public Hospital,Acute/Chronic Hospital,Ottawa Hopital Montfort,Portobello Clinic,administrative offices and related facilities,1967 Portobello Boulevard,Ottawa,K4A 4E7,40562.47186761,11.987239649869275,,2011
33,33,Public Hospital,Acute/Chronic Hospital,Ottawa Hopital Montfort,Portobello Clinic,facilities used for hospital purposes,1967 Portobello Boulevard,Ottawa,K4A 4E7,12116.06302539,11.987239649869275,,2011
34,34,Public Hospital,Acute/Chronic Hospital,Ottawa Hopital Montfort,Prescott and Russell Community Health Centre (PRCMHC),administrative offices and related facilities,706-710 Principale Rue,Casselman,K0A 1M0,7567.862616,3.750272167754373,,2011
35,35,Public Hospital,Acute/Chronic Hospital,Ottawa Hopital Montfort,Prescott and Russell Mental Health Crisis Service,administrative offices and related facilities,444-101 McGill,Hawkesbury,K6A 1R2,4598.9648130000005,3.828224971927933,,2011
36,36,Public Hospital,Acute/Chronic Hospital,Ottawa Hopital Montfort,Prescott and Russell Psychogeriatric Service (PRPS),administrative offices and related facilities,480 McGill,Hawkesbury,K6A 1R2,1458.817857,1.746655093003771,,2011
37,37,Public Hospital,Acute/Chronic Hospital,Winchester District Memorial Hospital,Louise Harvey Dillabough Building,administrative offices and related facilities,550 Louise Street,Winchester,K0C 2K0,24972.652614,4.851874269132168,,2011
38,38,Public Hospital,Acute/Chronic Hospital,Winchester District Memorial Hospital,Winchester District Memorial Hospital,administrative offices and related facilities,566 Louise Street,Winchester,K0C 2K0,37725.0002594208,19.9070831765889,,2011
